epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,7.0769835487008095,0.0006866455078125,0.0,0.005,0.555,0.235,0.095,0.02
2,6.954303212463856,0.0005645751953125,0.0,0.005,0.515,0.285,0.1,0.025
3,6.945844121277332,0.0006561279296875,0.0,0.005,0.525,0.23,0.105,0.025
4,6.943245656788349,0.000701904296875,0.0,0.005,0.46,0.245,0.11,0.025
5,6.940392322838306,0.000762939453125,0.0,0.005,0.48,0.205,0.11,0.02
6,6.937107868492603,0.0005645751953125,0.0,0.005,0.545,0.275,0.1,0.015
7,6.933983266353607,0.0007476806640625,0.0,0.005,0.515,0.305,0.1,0.02
8,6.931959867477417,0.0007781982421875,0.0,0.005,0.525,0.245,0.085,0.02
9,6.929908685386181,0.0008087158203125,0.0,0.005,0.48,0.29,0.12,0.03
10,6.927907571196556,0.000762939453125,0.0,0.01,0.47,0.29,0.085,0.02
11,6.923143267631531,0.0008544921875,0.0,0.005,0.55,0.24,0.115,0.025
12,6.919422388076782,0.0008544921875,0.0,0.005,0.51,0.28,0.09,0.03
13,6.914649732410908,0.000823974609375,0.0,0.01,0.545,0.255,0.12,0.035
14,6.90921188890934,0.0008087158203125,0.0,0.005,0.545,0.27,0.105,0.03
15,6.899198457598686,0.0007781982421875,0.0,0.01,0.535,0.315,0.11,0.025
16,6.88897380977869,0.00115966796875,0.0,0.01,0.54,0.265,0.14,0.045
17,6.874041765928268,0.001007080078125,0.0,0.005,0.505,0.29,0.13,0.025
18,6.858640551567078,0.0010986328125,0.0,0.015,0.51,0.295,0.105,0.045
19,6.838532499969006,0.0012054443359375,0.0,0.01,0.58,0.23,0.13,0.045
20,6.810956783592701,0.001495361328125,0.0,0.01,0.53,0.33,0.16,0.035
21,6.779501713812351,0.001434326171875,0.0,0.01,0.575,0.325,0.13,0.035
22,6.737782314419746,0.002044677734375,0.0,0.015,0.51,0.32,0.13,0.045
23,6.691990152001381,0.0020751953125,0.0,0.01,0.57,0.28,0.12,0.045
24,6.641490750014782,0.00238037109375,0.0,0.015,0.535,0.3,0.135,0.045
25,6.577495291829109,0.00311279296875,0.0,0.01,0.54,0.25,0.12,0.045
26,6.510183408856392,0.00311279296875,0.0,0.0,0.515,0.315,0.125,0.035
27,6.440179325640202,0.003814697265625,0.0,0.005,0.605,0.3,0.105,0.035
28,6.370739631354809,0.0041046142578125,0.0,0.01,0.52,0.35,0.15,0.04
29,6.294252954423428,0.0050811767578125,0.0,0.0,0.575,0.28,0.125,0.03
30,6.2193571254611015,0.00537109375,0.0,0.0,0.535,0.27,0.11,0.03
31,6.150431260466576,0.0060272216796875,0.0,0.005,0.575,0.25,0.135,0.025
32,6.079462684690952,0.00653076171875,0.0,0.01,0.53,0.275,0.095,0.035
33,6.006714388728142,0.00738525390625,0.0,0.005,0.56,0.25,0.105,0.025
34,5.940133489668369,0.0077056884765625,0.0,0.005,0.575,0.3,0.135,0.03
35,5.8778141885995865,0.008331298828125,0.0,0.005,0.55,0.295,0.125,0.03
36,5.814836077392101,0.008941650390625,0.0,0.01,0.585,0.305,0.115,0.03
37,5.754944585263729,0.0092620849609375,0.0,0.01,0.52,0.255,0.1,0.025
38,5.696291781961918,0.0104522705078125,0.0,0.005,0.56,0.3,0.135,0.025
39,5.637242518365383,0.0108795166015625,0.0,0.0,0.505,0.28,0.095,0.035
40,5.587800405919552,0.0113372802734375,0.0,0.005,0.525,0.31,0.12,0.03
