epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,7.076777301728725,0.0006103515625,0.0,0.005,0.52,0.275,0.095,0.025
2,6.953978702425957,0.0005950927734375,0.0,0.005,0.445,0.27,0.12,0.03
3,6.947722539305687,0.000640869140625,0.0,0.0,0.52,0.275,0.125,0.025
4,6.943246029317379,0.0005645751953125,0.0,0.0,0.49,0.275,0.12,0.025
5,6.9387881979346275,0.000457763671875,0.0,0.0,0.485,0.23,0.095,0.025
6,6.935740940272808,0.00079345703125,0.0,0.005,0.475,0.225,0.115,0.025
7,6.932801604270935,0.0008087158203125,0.0,0.005,0.495,0.27,0.13,0.03
8,6.928176566958427,0.00067138671875,0.0,0.005,0.485,0.225,0.09,0.015
9,6.924260459840298,0.00091552734375,0.0,0.005,0.49,0.295,0.095,0.02
10,6.919912181794643,0.000946044921875,0.0,0.01,0.54,0.25,0.095,0.02
11,6.914429098367691,0.0009918212890625,0.0,0.005,0.555,0.34,0.095,0.03
12,6.903565585613251,0.0009002685546875,0.0,0.005,0.495,0.28,0.13,0.025
13,6.896318629384041,0.001068115234375,0.0,0.0,0.54,0.26,0.105,0.025
14,6.884319379925728,0.0009765625,0.0,0.005,0.485,0.275,0.1,0.03
15,6.867221482098103,0.001312255859375,0.0,0.005,0.555,0.28,0.115,0.04
16,6.847548238933086,0.0012969970703125,0.0,0.005,0.54,0.265,0.13,0.04
17,6.821852147579193,0.0013885498046875,0.0,0.0,0.52,0.3,0.11,0.03
18,6.790488876402378,0.0018157958984375,0.0,0.005,0.62,0.27,0.13,0.025
19,6.749988541007042,0.00201416015625,0.0,0.0,0.62,0.26,0.095,0.035
20,6.701470494270325,0.0019378662109375,0.0,0.01,0.555,0.295,0.11,0.02
21,6.64717809855938,0.00274658203125,0.0,0.0,0.575,0.325,0.105,0.03
22,6.5852257907390594,0.002716064453125,0.0,0.005,0.535,0.25,0.1,0.03
23,6.508090943098068,0.0032196044921875,0.0,0.005,0.58,0.3,0.125,0.03
24,6.441026516258717,0.003692626953125,0.0,0.005,0.57,0.23,0.11,0.02
25,6.358066715300083,0.0046844482421875,0.0,0.005,0.55,0.275,0.1,0.025
26,6.283687300980091,0.00531005859375,0.0,0.0,0.57,0.27,0.1,0.03
27,6.197568707168102,0.0055694580078125,0.0,0.0,0.6,0.275,0.14,0.035
28,6.117612607777119,0.0065155029296875,0.0,0.015,0.535,0.29,0.115,0.025
29,6.039488144218922,0.0073089599609375,0.0,0.005,0.505,0.26,0.115,0.03
30,5.966773860156536,0.0080413818359375,0.0,0.0,0.475,0.27,0.14,0.025
31,5.889961764216423,0.00848388671875,0.0,0.005,0.53,0.27,0.125,0.025
32,5.822940096259117,0.0088348388671875,0.0,0.0,0.56,0.265,0.14,0.03
33,5.74852504581213,0.0095367431640625,0.0,0.005,0.51,0.245,0.12,0.035
34,5.681450769305229,0.0106964111328125,0.0,0.015,0.5,0.285,0.095,0.035
35,5.622555322945118,0.010711669921875,0.0,0.01,0.51,0.285,0.115,0.02
36,5.559422321617603,0.011566162109375,0.0,0.005,0.47,0.265,0.105,0.03
37,5.5031783282756805,0.0124664306640625,0.0,0.005,0.555,0.265,0.105,0.015
38,5.452584698796272,0.0123138427734375,0.0,0.0,0.45,0.26,0.105,0.035
39,5.397037103772163,0.0128936767578125,0.0,0.005,0.55,0.28,0.135,0.035
40,5.34977900236845,0.012908935546875,0.0,0.01,0.515,0.28,0.135,0.025
