epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,6.797703951597214,0.0017852783203125,0.0,0.035,0.835,0.62,0.37,0.19
2,6.415843941271305,0.0031280517578125,0.0,0.075,0.895,0.75,0.49,0.25
3,6.290453888475895,0.004241943359375,0.0,0.08,0.875,0.745,0.5,0.32
4,6.189537167549133,0.004669189453125,0.0,0.09,0.86,0.775,0.53,0.345
5,6.1131390035152435,0.00555419921875,0.0,0.11,0.93,0.76,0.605,0.395
6,6.038589373230934,0.0064849853515625,0.0,0.13,0.915,0.76,0.575,0.405
7,5.971759669482708,0.0069122314453125,0.0,0.16,0.93,0.79,0.635,0.425
8,5.909046903252602,0.0073699951171875,0.0,0.165,0.875,0.76,0.63,0.455
9,5.85269383341074,0.007904052734375,0.0,0.175,0.94,0.815,0.66,0.46
10,5.788723781704903,0.0090789794921875,0.0,0.215,0.89,0.835,0.615,0.455
11,5.733724154531956,0.0095062255859375,0.0,0.215,0.92,0.785,0.69,0.485
12,5.674477934837341,0.010986328125,0.0,0.195,0.91,0.845,0.68,0.435
13,5.613194152712822,0.0108489990234375,0.0,0.24,0.91,0.875,0.69,0.49
14,5.559076428413391,0.0117950439453125,0.0,0.195,0.945,0.845,0.685,0.445
15,5.501261487603188,0.012725830078125,0.0,0.185,0.925,0.87,0.665,0.455
16,5.440952695906162,0.013580322265625,0.0,0.21,0.935,0.815,0.645,0.495
17,5.380930550396442,0.013824462890625,0.0,0.215,0.93,0.81,0.66,0.48
18,5.325874023139477,0.0149688720703125,0.0,0.2,0.905,0.815,0.655,0.475
19,5.277111440896988,0.0157470703125,0.0,0.205,0.915,0.855,0.7,0.455
20,5.209592759609222,0.0160369873046875,0.0,0.205,0.91,0.86,0.645,0.455
21,5.151862122118473,0.01708984375,0.0,0.195,0.945,0.8,0.655,0.44
22,5.095988743007183,0.0182037353515625,0.0,0.22,0.935,0.815,0.67,0.46
23,5.036683604121208,0.0196380615234375,0.0,0.215,0.93,0.845,0.705,0.47
24,4.975540265440941,0.0198211669921875,0.0,0.225,0.93,0.82,0.64,0.465
25,4.924718201160431,0.02099609375,0.0,0.225,0.915,0.795,0.64,0.46
26,4.871631249785423,0.0216064453125,0.0,0.23,0.91,0.82,0.68,0.495
27,4.813318163156509,0.022552490234375,0.0,0.215,0.9,0.795,0.685,0.455
28,4.757023274898529,0.023193359375,0.0,0.18,0.945,0.835,0.655,0.47
29,4.697732724249363,0.0260009765625,0.0,0.205,0.92,0.835,0.66,0.455
30,4.641366586089134,0.026702880859375,0.0,0.185,0.925,0.82,0.67,0.455
31,4.591643832623959,0.027374267578125,0.0,0.19,0.905,0.845,0.665,0.465
32,4.537392556667328,0.0272064208984375,0.0,0.21,0.925,0.835,0.69,0.43
33,4.48056373000145,0.0280609130859375,0.0,0.185,0.95,0.775,0.64,0.44
34,4.4286414459347725,0.0293121337890625,0.0,0.185,0.93,0.8,0.64,0.45
35,4.380360797047615,0.0310211181640625,0.0,0.18,0.91,0.84,0.69,0.46
36,4.323304250836372,0.0322723388671875,0.0,0.21,0.9,0.86,0.71,0.425
37,4.278146021068096,0.03277587890625,0.0,0.19,0.925,0.83,0.665,0.435
38,4.231171913444996,0.033416748046875,0.0,0.17,0.91,0.785,0.645,0.44
39,4.1790966391563416,0.0344696044921875,0.0,0.2,0.925,0.825,0.665,0.43
40,4.124280121177435,0.0357666015625,0.0,0.2,0.915,0.805,0.68,0.415
