epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,7.216409273445606,0.00140380859375,0.0,0.025,0.715,0.48,0.225,0.09
2,6.753067418932915,0.0020751953125,0.0,0.025,0.73,0.55,0.325,0.15
3,6.676347002387047,0.002349853515625,0.0,0.045,0.765,0.475,0.305,0.145
4,6.619555652141571,0.00262451171875,0.0,0.045,0.83,0.55,0.355,0.15
5,6.573290728032589,0.0030059814453125,0.0,0.06,0.82,0.585,0.35,0.145
6,6.531282559037209,0.0035400390625,0.0,0.07,0.86,0.62,0.37,0.15
7,6.491979099810123,0.003814697265625,0.0,0.065,0.8,0.615,0.44,0.15
8,6.4503545090556145,0.0037384033203125,0.0,0.07,0.85,0.62,0.365,0.17
9,6.412009373307228,0.0047454833984375,0.0,0.08,0.85,0.64,0.425,0.175
10,6.370977990329266,0.0049896240234375,0.0,0.07,0.83,0.67,0.37,0.175
11,6.32296422123909,0.00518798828125,0.0,0.08,0.815,0.665,0.465,0.205
12,6.272276796400547,0.0052337646484375,0.0,0.085,0.825,0.69,0.44,0.225
13,6.218322917819023,0.006317138671875,0.0,0.08,0.87,0.635,0.415,0.23
14,6.153765514492989,0.00738525390625,0.0,0.1,0.865,0.725,0.4,0.205
15,6.085637420415878,0.0076446533203125,0.0,0.095,0.86,0.675,0.445,0.2
16,6.004335254430771,0.0083465576171875,0.0,0.105,0.81,0.645,0.45,0.22
17,5.910763643682003,0.009796142578125,0.0,0.08,0.865,0.72,0.47,0.225
18,5.809580281376839,0.011016845703125,0.0,0.075,0.835,0.675,0.43,0.225
19,5.700574986636639,0.0124359130859375,0.0,0.075,0.865,0.655,0.435,0.23
20,5.573011085391045,0.0135955810546875,0.0,0.075,0.82,0.665,0.43,0.235
21,5.442822493612766,0.0151214599609375,0.0,0.09,0.84,0.68,0.45,0.22
22,5.300631634891033,0.0172882080078125,0.0,0.08,0.86,0.63,0.465,0.215
23,5.1477116867899895,0.0196685791015625,0.0,0.075,0.84,0.695,0.47,0.235
24,4.99747858196497,0.0223846435546875,0.0,0.085,0.81,0.66,0.45,0.255
25,4.8423959240317345,0.0243072509765625,0.0,0.08,0.81,0.66,0.445,0.2
26,4.691297858953476,0.0261688232421875,0.0,0.075,0.825,0.665,0.475,0.24
27,4.536587163805962,0.029937744140625,0.0,0.06,0.82,0.615,0.41,0.185
28,4.383998349308968,0.0321502685546875,0.0,0.06,0.81,0.62,0.405,0.21
29,4.236342038959265,0.0332183837890625,0.0,0.065,0.845,0.655,0.43,0.215
30,4.096793092787266,0.0369873046875,0.0,0.06,0.775,0.685,0.395,0.185
31,3.9733641371130943,0.0391998291015625,0.0,0.08,0.825,0.61,0.44,0.25
32,3.8356153406202793,0.040924072265625,0.0,0.06,0.77,0.6,0.445,0.205
33,3.703200612217188,0.0440216064453125,0.0,0.065,0.845,0.645,0.42,0.215
34,3.5838453210890293,0.0473480224609375,0.0,0.06,0.795,0.625,0.42,0.235
35,3.4618644416332245,0.0489044189453125,0.0,0.065,0.805,0.65,0.465,0.23
36,3.366361405700445,0.0512542724609375,0.0,0.08,0.83,0.655,0.43,0.24
37,3.257522214204073,0.052886962890625,0.0,0.065,0.815,0.62,0.445,0.205
38,3.153882823884487,0.05401611328125,0.0,0.055,0.785,0.59,0.42,0.21
39,3.0547528080642223,0.056640625,0.0,0.07,0.83,0.635,0.39,0.195
40,2.9658008217811584,0.059051513671875,0.0,0.055,0.84,0.63,0.435,0.195
