epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,7.0187414065003395,0.00091552734375,0.0,0.02,0.695,0.375,0.235,0.06
2,6.869466997683048,0.0014801025390625,0.0,0.02,0.74,0.515,0.3,0.095
3,6.8224188312888145,0.0018768310546875,0.0,0.03,0.815,0.585,0.365,0.155
4,6.789829105138779,0.0018157958984375,0.0,0.045,0.815,0.635,0.4,0.18
5,6.760256506502628,0.00238037109375,0.0,0.045,0.85,0.655,0.43,0.21
6,6.734646297991276,0.00250244140625,0.0,0.06,0.84,0.635,0.415,0.2
7,6.713473968207836,0.002777099609375,0.0,0.06,0.845,0.665,0.385,0.215
8,6.689557172358036,0.0030517578125,0.0,0.075,0.85,0.625,0.42,0.215
9,6.666912995278835,0.0030975341796875,0.0,0.065,0.865,0.69,0.44,0.215
10,6.644353203475475,0.003143310546875,0.0,0.07,0.865,0.67,0.46,0.225
11,6.618545487523079,0.0037841796875,0.0,0.07,0.86,0.65,0.44,0.205
12,6.5896210744977,0.003814697265625,0.0,0.055,0.82,0.705,0.45,0.215
13,6.562532588839531,0.0042572021484375,0.0,0.06,0.865,0.75,0.43,0.22
14,6.526752382516861,0.0045166015625,0.0,0.065,0.87,0.715,0.475,0.23
15,6.494014583528042,0.0050201416015625,0.0,0.075,0.82,0.69,0.435,0.225
16,6.454953350126743,0.0052337646484375,0.0,0.065,0.89,0.64,0.47,0.175
17,6.408143118023872,0.005615234375,0.0,0.075,0.83,0.645,0.505,0.24
18,6.358545124530792,0.00567626953125,0.0,0.065,0.84,0.67,0.415,0.245
19,6.308291308581829,0.005767822265625,0.0,0.07,0.83,0.655,0.455,0.25
20,6.250360324978828,0.0067291259765625,0.0,0.075,0.815,0.64,0.405,0.19
21,6.18939645588398,0.007232666015625,0.0,0.075,0.81,0.66,0.425,0.205
22,6.129902318120003,0.0075531005859375,0.0,0.08,0.79,0.68,0.45,0.225
23,6.0644125789403915,0.008575439453125,0.0,0.065,0.875,0.585,0.44,0.185
24,6.004271432757378,0.0102386474609375,0.0,0.08,0.845,0.655,0.46,0.215
25,5.937883332371712,0.0094757080078125,0.0,0.05,0.805,0.63,0.415,0.23
26,5.871374607086182,0.0105133056640625,0.0,0.065,0.82,0.645,0.4,0.195
27,5.809987910091877,0.0113677978515625,0.0,0.07,0.8,0.625,0.46,0.215
28,5.751891531050205,0.011077880859375,0.0,0.07,0.77,0.6,0.405,0.185
29,5.694413632154465,0.0127105712890625,0.0,0.065,0.82,0.645,0.4,0.18
30,5.633236303925514,0.0129852294921875,0.0,0.075,0.8,0.6,0.38,0.2
31,5.5797053426504135,0.0135650634765625,0.0,0.04,0.73,0.64,0.395,0.17
32,5.5298756286501884,0.01409912109375,0.0,0.055,0.825,0.6,0.325,0.18
33,5.474342055618763,0.0142364501953125,0.0,0.075,0.83,0.59,0.41,0.19
34,5.413874968886375,0.01531982421875,0.0,0.065,0.805,0.575,0.41,0.185
35,5.374867491424084,0.015533447265625,0.0,0.06,0.775,0.57,0.35,0.21
36,5.318018324673176,0.0167236328125,0.0,0.055,0.815,0.555,0.405,0.19
37,5.277803905308247,0.0175018310546875,0.0,0.055,0.79,0.605,0.4,0.185
38,5.228582948446274,0.01727294921875,0.0,0.05,0.77,0.57,0.365,0.165
39,5.19428763538599,0.017669677734375,0.0,0.065,0.755,0.625,0.345,0.19
40,5.142945364117622,0.0179290771484375,0.0,0.05,0.785,0.58,0.405,0.18
