epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,6.681264936923981,0.0033111572265625,0.0,0.105,0.845,0.765,0.53,0.3
2,5.92919260263443,0.0071563720703125,0.0,0.165,0.945,0.82,0.645,0.37
3,5.672018967568874,0.0098114013671875,0.0,0.175,0.96,0.865,0.695,0.48
4,5.487913280725479,0.012725830078125,0.0,0.21,0.945,0.87,0.745,0.535
5,5.3374268263578415,0.0153350830078125,0.0,0.25,0.955,0.82,0.745,0.57
6,5.20071741938591,0.0172271728515625,0.0,0.265,0.98,0.9,0.79,0.62
7,5.081060603260994,0.0193328857421875,0.0,0.285,0.975,0.9,0.835,0.63
8,4.962163180112839,0.02191162109375,0.0,0.315,0.96,0.875,0.81,0.665
9,4.861846245825291,0.0230255126953125,0.0,0.315,0.965,0.915,0.84,0.665
10,4.748568370938301,0.02545166015625,0.0,0.34,0.98,0.91,0.83,0.675
11,4.643396012485027,0.02691650390625,0.0,0.365,0.97,0.925,0.845,0.7
12,4.546372853219509,0.029449462890625,0.0,0.355,0.98,0.935,0.835,0.725
13,4.443872220814228,0.033538818359375,0.0,0.36,0.975,0.92,0.835,0.74
14,4.350642256438732,0.0339813232421875,0.0,0.375,0.955,0.92,0.82,0.75
15,4.256796054542065,0.036163330078125,0.0,0.37,0.98,0.925,0.85,0.73
16,4.168346956372261,0.0385589599609375,0.0,0.395,0.95,0.945,0.84,0.745
17,4.069562736898661,0.039642333984375,0.0,0.385,0.98,0.935,0.85,0.72
18,3.981843736022711,0.04180908203125,0.0,0.41,0.97,0.95,0.86,0.71
19,3.8904332034289837,0.0434722900390625,0.0,0.375,0.95,0.895,0.865,0.72
20,3.8053747825324535,0.0453338623046875,0.0,0.39,0.98,0.93,0.88,0.725
21,3.725974667817354,0.047576904296875,0.0,0.36,0.97,0.9,0.83,0.73
22,3.6371888741850853,0.0503082275390625,0.0,0.395,0.965,0.94,0.825,0.755
23,3.5532391853630543,0.0533447265625,0.0,0.355,0.99,0.905,0.84,0.735
24,3.474066074937582,0.053619384765625,0.0,0.38,0.955,0.92,0.79,0.755
25,3.4021040312945843,0.0558319091796875,0.0,0.375,0.965,0.92,0.805,0.725
26,3.324525121599436,0.058349609375,0.0,0.385,0.965,0.93,0.845,0.735
27,3.2497888170182705,0.0583038330078125,0.0,0.39,0.95,0.925,0.86,0.75
28,3.1744603626430035,0.0614471435546875,0.0,0.38,0.955,0.95,0.835,0.735
29,3.105292145162821,0.0632476806640625,0.0,0.4,0.965,0.945,0.825,0.735
30,3.0321409702301025,0.06396484375,0.0,0.385,0.97,0.945,0.86,0.735
31,2.970075950026512,0.066925048828125,0.0,0.38,0.985,0.94,0.83,0.72
32,2.9161382988095284,0.068206787109375,0.0,0.395,0.95,0.92,0.855,0.73
33,2.844582177698612,0.0699005126953125,0.0,0.4,0.955,0.925,0.855,0.71
34,2.796161759644747,0.0720367431640625,0.0,0.395,0.98,0.94,0.805,0.725
35,2.723788410425186,0.0736083984375,0.0,0.37,0.97,0.895,0.82,0.73
36,2.6816142089664936,0.0751953125,0.0,0.36,0.96,0.89,0.83,0.72
37,2.622012685984373,0.07757568359375,0.0,0.405,0.965,0.93,0.815,0.715
38,2.5695202462375164,0.077850341796875,0.0,0.4,0.955,0.915,0.805,0.72
39,2.5217131674289703,0.0805816650390625,0.0,0.39,0.955,0.93,0.85,0.715
40,2.474162772297859,0.0809783935546875,0.0,0.385,0.96,0.915,0.85,0.715
