epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,22.549922650939628,0.0005698015275387263,0.0,0.005,0.44,0.23,0.09,0.025
2,17.910760561078018,0.0005882906626506025,0.0,0.005,0.51,0.275,0.115,0.025
3,15.89823024900768,0.0006067797977624785,0.0,0.005,0.475,0.255,0.1,0.03
4,14.67150501704257,0.0005966948149741825,0.0,0.005,0.49,0.27,0.105,0.025
5,13.672571334904525,0.0006252689328743546,0.0,0.005,0.52,0.26,0.105,0.025
6,12.790081634784114,0.0006202264414802065,0.0,0.005,0.49,0.26,0.11,0.025
7,11.969135236822185,0.0006101414586919105,0.0,0.005,0.525,0.235,0.085,0.025
8,11.190774727195963,0.0006017373063683304,0.0,0.005,0.48,0.21,0.08,0.025
9,10.46142156604235,0.0006168647805507746,0.0,0.005,0.5,0.305,0.135,0.025
10,9.77977659451982,0.0006034181368330465,0.0,0.005,0.53,0.21,0.06,0.025
11,9.133466305297747,0.0005765248493975904,0.0,0.005,0.52,0.215,0.1,0.025
12,8.55018517728927,0.0006303114242685025,0.0,0.005,0.475,0.265,0.115,0.025
13,8.044881878949688,0.0005849290017211704,0.0,0.005,0.52,0.195,0.115,0.025
14,7.633044439831207,0.0006286305938037866,0.0,0.005,0.535,0.245,0.085,0.025
15,7.3256738091499995,0.0006370347461273666,0.0,0.005,0.515,0.22,0.095,0.025
16,7.11406983114561,0.0005950139845094664,0.0,0.01,0.55,0.255,0.11,0.025
17,6.9455606687089455,0.0008404152323580035,0.0,0.01,0.61,0.32,0.11,0.035
18,6.876457283295781,0.000990009143717728,0.0,0.01,0.62,0.26,0.17,0.04
19,6.853089494262012,0.000988328313253012,0.0,0.01,0.63,0.33,0.175,0.04
20,6.841587867671159,0.00101017910929432,0.0,0.01,0.565,0.325,0.175,0.045
21,6.8348098703998295,0.000998413296041308,0.0,0.01,0.625,0.32,0.155,0.045
22,6.829110277704446,0.000973200839070568,0.0,0.01,0.68,0.33,0.16,0.05
23,6.823885339878102,0.000973200839070568,0.0,0.01,0.59,0.375,0.155,0.05
24,6.81985630225807,0.00095975419535284,0.0,0.01,0.605,0.375,0.17,0.045
25,6.816541185067155,0.000996732465576592,0.0,0.01,0.64,0.42,0.195,0.05
26,6.813236692891474,0.0009950516351118761,0.0,0.01,0.645,0.415,0.185,0.05
27,6.809151459068522,0.000978243330464716,0.0,0.01,0.69,0.415,0.215,0.06
28,6.805083136139967,0.000969839178141136,0.0,0.01,0.65,0.405,0.245,0.055
29,6.801599412284497,0.0009631158562822719,0.0,0.01,0.63,0.4,0.205,0.055
30,6.7972523891166645,0.0010471573795180723,0.0,0.01,0.62,0.395,0.215,0.065
31,6.7931718391313405,0.0010202640920826162,0.0,0.01,0.685,0.355,0.195,0.055
32,6.789678750883486,0.0010740506669535284,0.0,0.01,0.64,0.43,0.195,0.055
33,6.787091015538333,0.0010723698364888123,0.0,0.01,0.64,0.425,0.225,0.055
34,6.784526668194034,0.0010303490748709123,0.0,0.01,0.625,0.435,0.18,0.06
35,6.78241350564612,0.0011194330895008607,0.0,0.01,0.66,0.39,0.24,0.055
36,6.780390465321106,0.0010320299053356281,0.0,0.01,0.645,0.49,0.2,0.055
37,6.77795382662197,0.0010437957185886403,0.0,0.01,0.645,0.435,0.225,0.05
38,6.776567441871367,0.0010992631239242685,0.0,0.01,0.695,0.425,0.2,0.06
39,6.775542271527079,0.0010286682444061962,0.0,0.01,0.68,0.405,0.19,0.06
40,6.773991369749716,0.0011513688683304647,0.0,0.01,0.67,0.435,0.19,0.055
