epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,6.47399014573089,0.0031196213425129086,0.0,0.08,0.83,0.685,0.475,0.235
2,6.470949292798461,0.0031061746987951807,0.0,0.075,0.87,0.685,0.46,0.23
3,6.469855780445565,0.0030490264629948363,0.0,0.075,0.885,0.655,0.46,0.235
4,6.47001178744738,0.00302213317555938,0.0,0.08,0.91,0.64,0.46,0.235
5,6.4684671896049775,0.0031549187822719447,0.0,0.07,0.85,0.66,0.41,0.235
6,6.467377664300128,0.003158280443201377,0.0,0.075,0.86,0.68,0.425,0.235
7,6.467994354267744,0.0029666657702237522,0.0,0.08,0.845,0.685,0.415,0.225
8,6.467360316783754,0.0031044938683304647,0.0,0.08,0.88,0.67,0.43,0.23
9,6.467527002147471,0.0031128980206540447,0.0,0.085,0.855,0.625,0.47,0.23
10,6.466725494693356,0.002906155873493976,0.0,0.08,0.905,0.68,0.465,0.23
11,6.4661949735500315,0.002939772482788296,0.0,0.075,0.855,0.69,0.435,0.23
12,6.466175199991249,0.0030742389199655768,0.0,0.075,0.84,0.655,0.415,0.23
13,6.465962165399181,0.0030759197504302924,0.0,0.075,0.88,0.67,0.455,0.23
14,6.465681422392801,0.0031381104776247847,0.0,0.075,0.85,0.615,0.445,0.235
15,6.465235004326563,0.0029952398881239245,0.0,0.075,0.855,0.725,0.485,0.23
16,6.465778153857758,0.0030070057013769362,0.0,0.075,0.845,0.705,0.43,0.225
17,6.464680395930646,0.0031280254948364886,0.0,0.075,0.855,0.665,0.43,0.23
18,6.46557015929493,0.003151557121342513,0.0,0.075,0.85,0.705,0.36,0.23
19,6.4651199700294795,0.003099451376936317,0.0,0.07,0.81,0.64,0.485,0.22
20,6.4648775668644864,0.0030658347676419968,0.0,0.075,0.865,0.66,0.43,0.23
21,6.46505565118051,0.003126344664371773,0.0,0.075,0.86,0.695,0.45,0.235
22,6.464473521647888,0.0030086865318416523,0.0,0.075,0.795,0.73,0.43,0.23
23,6.464818805097098,0.0030641539371772807,0.0,0.075,0.81,0.685,0.44,0.23
24,6.464586596891104,0.0032725769148020654,0.0,0.07,0.85,0.625,0.465,0.215
25,6.463918043290891,0.0030809622418244407,0.0,0.075,0.855,0.66,0.5,0.225
26,6.464821685817278,0.0031112171901893286,0.0,0.075,0.865,0.685,0.485,0.225
27,6.464279552334967,0.0031145788511187608,0.0,0.07,0.865,0.69,0.43,0.225
28,6.464068128812333,0.0030406223106712563,0.0,0.075,0.845,0.665,0.47,0.22
29,6.464628290186241,0.003168365425989673,0.0,0.065,0.875,0.675,0.41,0.22
30,6.464045708438,0.0030070057013769362,0.0,0.07,0.885,0.665,0.44,0.215
31,6.464061958654407,0.00295489995697074,0.0,0.07,0.845,0.67,0.445,0.225
32,6.463856910469199,0.0030876855636833046,0.0,0.065,0.835,0.645,0.455,0.225
33,6.4640498579882095,0.0030540689543889846,0.0,0.07,0.85,0.71,0.465,0.225
34,6.463399535817657,0.003082643072289157,0.0,0.075,0.8,0.585,0.455,0.21
35,6.462989235909178,0.003082643072289157,0.0,0.07,0.815,0.66,0.435,0.225
36,6.463703486266932,0.0030944088855421686,0.0,0.07,0.81,0.705,0.465,0.225
37,6.464028057255967,0.003131387155765921,0.0,0.07,0.83,0.655,0.47,0.22
38,6.4628708645727055,0.003191897052495697,0.0,0.07,0.85,0.645,0.44,0.22
39,6.46381049476269,0.0031465146299483647,0.0,0.065,0.855,0.59,0.445,0.215
40,6.462754375142608,0.0030423031411359724,0.0,0.065,0.82,0.685,0.465,0.21
