epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,1.562246134260978,0.011003627569528416,0.0,0.225,0.925,0.84,0.72,0.495
2,1.5456162479893425,0.011483944645976085,0.0,0.205,0.9,0.795,0.63,0.485
3,1.5370406036797861,0.011463791481929329,0.0,0.175,0.965,0.885,0.665,0.465
4,1.5351101340136668,0.011440279457208114,0.0,0.15,0.92,0.84,0.65,0.44
5,1.5305431218488745,0.011173250033588607,0.0,0.1,0.895,0.78,0.6,0.36
6,1.5287280645627386,0.011603184199919387,0.0,0.16,0.92,0.8,0.625,0.445
7,1.5244906267827676,0.011488982936987774,0.0,0.095,0.94,0.795,0.625,0.345
8,1.5224241298011887,0.011651887679699047,0.0,0.075,0.86,0.755,0.47,0.255
9,1.521337490370561,0.01142348515383582,0.0,0.1,0.91,0.735,0.545,0.315
10,1.518376124086166,0.01146043262125487,0.0,0.115,0.91,0.78,0.6,0.375
11,1.5184792231875979,0.011923955394330244,0.0,0.09,0.905,0.75,0.515,0.26
12,1.5164184059128396,0.011732500335886067,0.0,0.09,0.885,0.75,0.555,0.315
13,1.5149365609745722,0.011710667741502083,0.0,0.11,0.885,0.755,0.575,0.315
14,1.5127813605584397,0.011653567110036275,0.0,0.085,0.88,0.72,0.53,0.285
15,1.5128940011214365,0.011797998119038023,0.0,0.07,0.89,0.76,0.51,0.3
16,1.5109233730537315,0.01181311299207309,0.0,0.135,0.875,0.76,0.56,0.36
17,1.5116533651061073,0.011490662367325004,0.0,0.1,0.88,0.715,0.575,0.34
18,1.50748951461516,0.01193403197635362,0.0,0.075,0.92,0.745,0.525,0.315
19,1.5082972463013649,0.011870213623538895,0.0,0.09,0.885,0.71,0.51,0.28
20,1.507034207380188,0.011737538626897756,0.0,0.07,0.88,0.715,0.51,0.26
21,1.5071596594342425,0.011621657933628913,0.0,0.07,0.89,0.71,0.46,0.31
22,1.5059816272704332,0.011601504769582157,0.0,0.08,0.875,0.7,0.48,0.275
23,1.505184433679018,0.011675399704420261,0.0,0.05,0.875,0.675,0.385,0.19
24,1.5034116424140664,0.01171570603251377,0.0,0.065,0.885,0.65,0.47,0.305
25,1.501382355037819,0.011834945586457073,0.0,0.07,0.87,0.655,0.415,0.245
26,1.5000970660671182,0.011690514577455327,0.0,0.075,0.835,0.695,0.475,0.28
27,1.5032048667676825,0.011729141475211608,0.0,0.085,0.835,0.655,0.44,0.24
28,1.4996723090907218,0.0118534193201666,0.0,0.105,0.81,0.69,0.495,0.275
29,1.499704880697119,0.011779524385328496,0.0,0.08,0.875,0.685,0.49,0.275
30,1.5003399717620378,0.011865175332527208,0.0,0.08,0.855,0.705,0.445,0.26
31,1.4989610495993997,0.011860137041515518,0.0,0.085,0.86,0.735,0.49,0.245
32,1.4978230920206967,0.01189540507859734,0.0,0.06,0.88,0.69,0.505,0.23
33,1.4971955170206015,0.01198273545613328,0.0,0.075,0.815,0.645,0.465,0.235
34,1.4976710652321654,0.011873572484213354,0.0,0.055,0.815,0.7,0.455,0.24
35,1.495380251588287,0.011650208249361816,0.0,0.07,0.825,0.62,0.415,0.22
36,1.4951070865235565,0.012145640198844551,0.0,0.07,0.83,0.75,0.465,0.25
37,1.4948204903020887,0.011776165524654037,0.0,0.06,0.855,0.705,0.505,0.24
38,1.49566185059894,0.011771127233642348,0.0,0.065,0.88,0.715,0.455,0.28
39,1.4954962901493787,0.011786242106677416,0.0,0.055,0.835,0.68,0.43,0.24
40,1.4943722378129713,0.011729141475211608,0.0,0.05,0.86,0.69,0.435,0.22
