epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,2.042689091176191,0.005244860943168077,0.0,0.13,0.94,0.83,0.615,0.45
2,1.6975509680744527,0.009567714631197098,0.0,0.185,0.945,0.855,0.74,0.53
3,1.5243499481692424,0.012847642079806529,0.0,0.25,0.965,0.875,0.745,0.545
4,1.3746207965328443,0.014948609431680774,0.0,0.25,0.925,0.88,0.75,0.555
5,1.238781857476125,0.016701934703748488,0.0,0.25,0.965,0.89,0.795,0.61
6,1.1004714313772888,0.018923821039903265,0.0,0.29,0.97,0.9,0.76,0.585
7,0.9858100281517047,0.02111547762998791,0.0,0.255,0.935,0.905,0.745,0.575
8,0.8838547088286897,0.02469770253929867,0.0,0.24,0.955,0.86,0.76,0.59
9,0.7943986798608461,0.0249546553808948,0.0,0.285,0.98,0.885,0.81,0.64
10,0.7200876802602443,0.02876360338573156,0.0,0.275,0.945,0.875,0.72,0.555
11,0.6625437771142466,0.03057738814993954,0.0,0.27,0.95,0.895,0.72,0.59
12,0.6135288543359544,0.03207376058041112,0.0,0.28,0.95,0.81,0.73,0.59
13,0.5681300814920066,0.03532345828295042,0.0,0.23,0.93,0.9,0.715,0.57
14,0.5387682216541511,0.0375,0.0,0.215,0.955,0.85,0.74,0.56
15,0.5070160548444815,0.04044740024183797,0.0,0.245,0.98,0.88,0.715,0.57
16,0.4857460403006339,0.0405683192261185,0.0,0.29,0.955,0.89,0.755,0.585
17,0.4593210660596857,0.043848246674727934,0.0,0.265,0.96,0.9,0.745,0.61
18,0.44113487053342715,0.04529927448609432,0.0,0.265,0.955,0.87,0.725,0.595
19,0.4269195225787999,0.047521160822249095,0.0,0.215,0.95,0.845,0.695,0.56
20,0.41491269215202675,0.047989721886336156,0.0,0.28,0.93,0.87,0.755,0.58
21,0.398086973977925,0.05007557436517533,0.0,0.24,0.945,0.84,0.755,0.59
22,0.390039923873605,0.05128476420798065,0.0,0.265,0.945,0.89,0.705,0.575
23,0.3794254836771624,0.05226723095525997,0.0,0.24,0.96,0.91,0.745,0.565
24,0.36962041015564456,0.05495767835550181,0.0,0.25,0.965,0.86,0.74,0.53
25,0.3607258153995983,0.054806529625151146,0.0,0.24,0.93,0.87,0.71,0.535
26,0.35997474673761565,0.055698307134220075,0.0,0.24,0.935,0.865,0.75,0.635
27,0.348026783281471,0.05714933494558646,0.0,0.2,0.945,0.865,0.695,0.55
28,0.3384569317516854,0.05841898428053204,0.0,0.26,0.93,0.835,0.735,0.59
29,0.33383158471574953,0.0591596130592503,0.0,0.23,0.94,0.875,0.76,0.56
30,0.3321759058836005,0.05990024183796856,0.0,0.26,0.945,0.845,0.75,0.565
31,0.31957009870383296,0.06192563482466747,0.0,0.265,0.945,0.89,0.76,0.55
32,0.32121232553073253,0.06147218863361548,0.0,0.275,0.935,0.89,0.71,0.54
33,0.31357221917633277,0.06373941958887545,0.0,0.265,0.96,0.865,0.72,0.57
34,0.3085529216760015,0.06451027811366385,0.0,0.26,0.94,0.875,0.725,0.56
35,0.3005780817961102,0.0634522370012092,0.0,0.23,0.935,0.895,0.695,0.57
36,0.30270028003325916,0.06724607013301089,0.0,0.235,0.93,0.89,0.76,0.525
37,0.3007115044888951,0.06448004836759372,0.0,0.225,0.96,0.84,0.7,0.52
38,0.2945643757651262,0.06646009673518742,0.0,0.215,0.935,0.875,0.69,0.54
39,0.29369550357959,0.06750302297460702,0.0,0.245,0.95,0.875,0.765,0.54
40,0.28735782235878843,0.06972490931076179,0.0,0.235,0.94,0.86,0.745,0.55
