epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,1.6251076757275225,0.010669420932419724,0.0,0.17,0.945,0.8,0.65,0.43
2,1.6065661836388,0.01085919656052667,0.0,0.19,0.89,0.795,0.58,0.355
3,1.5981980151728439,0.010761789600967351,0.0,0.14,0.9,0.765,0.6,0.365
4,1.5923320551112696,0.010738277576246137,0.0,0.12,0.85,0.765,0.525,0.32
5,1.5875066171518244,0.01107584307402929,0.0,0.115,0.865,0.765,0.53,0.3
6,1.5851515172790909,0.011230350665054414,0.0,0.15,0.875,0.76,0.55,0.365
7,1.581396405837492,0.011104393389762192,0.0,0.08,0.865,0.725,0.495,0.275
8,1.5793164983001364,0.010884388015585113,0.0,0.125,0.935,0.755,0.54,0.32
9,1.5767508420863492,0.011161494021228,0.0,0.14,0.855,0.765,0.525,0.325
10,1.5738441235529357,0.011079201934703749,0.0,0.11,0.89,0.785,0.52,0.33
11,1.573941029365803,0.011208518070670428,0.0,0.065,0.875,0.69,0.505,0.26
12,1.5727508505746015,0.01120347977965874,0.0,0.13,0.9,0.76,0.51,0.33
13,1.5723652465423876,0.011438600026870886,0.0,0.12,0.85,0.75,0.545,0.315
14,1.5689608910608144,0.011305925030229745,0.0,0.125,0.845,0.705,0.485,0.285
15,1.5674830425767412,0.011136302566169555,0.0,0.075,0.855,0.745,0.47,0.32
16,1.5672357162464439,0.011206838640333198,0.0,0.12,0.865,0.71,0.52,0.31
17,1.5632984294856762,0.01116317345156523,0.0,0.1,0.895,0.74,0.54,0.295
18,1.565139396608989,0.011137981996506785,0.0,0.085,0.865,0.68,0.495,0.26
19,1.5662026811731962,0.011198441488647052,0.0,0.1,0.84,0.665,0.495,0.28
20,1.5632363343341336,0.011013704151551793,0.0,0.11,0.9,0.725,0.51,0.31
21,1.562379426391122,0.011107752250436653,0.0,0.105,0.9,0.75,0.54,0.32
22,1.5607529940279072,0.011052331049308075,0.0,0.1,0.845,0.71,0.465,0.29
23,1.5604482215914406,0.011168211742576917,0.0,0.09,0.825,0.655,0.475,0.25
24,1.5618989740618612,0.011280733575171302,0.0,0.08,0.82,0.7,0.515,0.28
25,1.5604352320856614,0.011253862689775629,0.0,0.095,0.805,0.645,0.445,0.28
26,1.5599454531742651,0.011216915222356577,0.0,0.1,0.83,0.71,0.5,0.325
27,1.5592197994303034,0.011337834206637108,0.0,0.085,0.87,0.7,0.52,0.29
28,1.5578338535085379,0.011143020287518474,0.0,0.07,0.855,0.675,0.505,0.275
29,1.5588727479001518,0.011274015853822383,0.0,0.06,0.885,0.695,0.465,0.255
30,1.557513180313036,0.011173250033588607,0.0,0.1,0.84,0.67,0.44,0.26
31,1.557288631716355,0.011122867123471719,0.0,0.09,0.855,0.675,0.47,0.275
32,1.555899958884093,0.011190044336960903,0.0,0.095,0.89,0.705,0.545,0.285
33,1.554697750028897,0.011327757624613731,0.0,0.125,0.82,0.655,0.52,0.27
34,1.5541268751888078,0.011270656993147924,0.0,0.11,0.84,0.725,0.5,0.285
35,1.5540740145881635,0.011228671234717184,0.0,0.08,0.83,0.715,0.485,0.245
36,1.5542829820678292,0.011321039903264813,0.0,0.09,0.805,0.635,0.455,0.255
37,1.5542068260884903,0.011310963321241435,0.0,0.095,0.82,0.65,0.43,0.245
38,1.5536848918350252,0.011295848448206369,0.0,0.115,0.855,0.73,0.51,0.295
39,1.5531243178787755,0.011344551927986028,0.0,0.105,0.85,0.68,0.53,0.31
40,1.5512647768318149,0.011576313314523714,0.0,0.07,0.83,0.65,0.415,0.23
