epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,2.0588989488158864,0.006061064087061668,0.0,0.195,0.915,0.855,0.685,0.48
2,1.683215612468581,0.00964328899637243,0.0,0.225,0.97,0.925,0.695,0.56
3,1.5376892850217392,0.01175937122128174,0.0,0.25,0.96,0.865,0.78,0.58
4,1.432616253955765,0.013225513905683193,0.0,0.265,0.965,0.915,0.84,0.645
5,1.3465022208756952,0.01440447400241838,0.0,0.26,0.95,0.89,0.755,0.565
6,1.2632883876454009,0.015069528415961306,0.0,0.31,0.96,0.925,0.765,0.61
7,1.1795501389339151,0.016414752116082225,0.0,0.255,0.955,0.885,0.745,0.595
8,1.10871432881978,0.016974002418379687,0.0,0.255,0.98,0.895,0.735,0.56
9,1.036842428729785,0.018394800483675935,0.0,0.275,0.95,0.9,0.76,0.56
10,0.976316171394438,0.019694679564691658,0.0,0.255,0.98,0.87,0.735,0.56
11,0.9149965717541696,0.021085247883917774,0.0,0.26,0.93,0.875,0.78,0.555
12,0.8607515813397669,0.021946795646916567,0.0,0.25,0.955,0.9,0.74,0.585
13,0.8103900996776705,0.023276904474002418,0.0,0.24,0.965,0.875,0.775,0.58
14,0.7728228840567036,0.024848851269649336,0.0,0.235,0.955,0.875,0.785,0.555
15,0.7343239429279568,0.02534764207980653,0.0,0.26,0.96,0.92,0.745,0.56
16,0.6987538218642376,0.025755743651753326,0.0,0.24,0.965,0.925,0.755,0.57
17,0.6592371909873517,0.027992744860943167,0.0,0.265,0.96,0.875,0.775,0.56
18,0.6324559089638734,0.028234582829504234,0.0,0.255,0.97,0.88,0.755,0.535
19,0.6097966383147124,0.02927750906892382,0.0,0.29,0.95,0.91,0.775,0.555
20,0.5813069068985521,0.030003022974607014,0.0,0.26,0.925,0.865,0.765,0.545
21,0.5618171268625877,0.030864570737605804,0.0,0.255,0.96,0.89,0.74,0.565
22,0.5370036849970541,0.031711003627569526,0.0,0.25,0.95,0.855,0.735,0.525
23,0.525864749799112,0.03311668681983072,0.0,0.29,0.975,0.865,0.795,0.52
24,0.5080492016175782,0.034280532043530834,0.0,0.275,0.975,0.885,0.795,0.59
25,0.48751843720674515,0.03422007255139057,0.0,0.23,0.96,0.875,0.74,0.56
26,0.47458721879856186,0.03612454655380895,0.0,0.24,0.96,0.875,0.77,0.58
27,0.4616329523229109,0.03591293833131802,0.0,0.235,0.905,0.84,0.74,0.56
28,0.4524399980398158,0.03678960096735187,0.0,0.25,0.92,0.895,0.685,0.53
29,0.4408871463016847,0.03742442563482467,0.0,0.235,0.955,0.89,0.74,0.485
30,0.4324525028647362,0.038285973397823456,0.0,0.255,0.95,0.905,0.755,0.55
31,0.4217383003607843,0.038210399032648126,0.0,0.255,0.95,0.86,0.74,0.55
32,0.4148526168593905,0.03895102781136638,0.0,0.27,0.94,0.88,0.715,0.555
33,0.40890719594373093,0.03954050785973398,0.0,0.265,0.965,0.88,0.72,0.515
34,0.399270506209481,0.040779927448609435,0.0,0.255,0.965,0.905,0.72,0.55
35,0.39484459042296877,0.04142986698911729,0.0,0.205,0.94,0.87,0.76,0.54
36,0.38550427844241136,0.04130894800483676,0.0,0.29,0.96,0.88,0.75,0.57
37,0.3782462997125527,0.043636638452237,0.0,0.24,0.965,0.9,0.77,0.555
38,0.3741535677001367,0.042714631197097945,0.0,0.205,0.96,0.855,0.77,0.535
39,0.3710722149742774,0.04375755743651753,0.0,0.215,0.965,0.885,0.77,0.525
40,0.36201826652563757,0.044316807738814995,0.0,0.205,0.92,0.885,0.74,0.5
