epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,5.873600520693702,0.009723604238382099,0.0,0.2,0.935,0.86,0.68,0.43
2,5.851041559097894,0.009913538080895009,0.0,0.16,0.91,0.82,0.625,0.44
3,5.83729378902153,0.009890006454388985,0.0,0.155,0.885,0.775,0.565,0.415
4,5.826156150043113,0.01035055400172117,0.0,0.165,0.88,0.8,0.63,0.385
5,5.815958688673588,0.01035895815404475,0.0,0.16,0.93,0.8,0.62,0.395
6,5.807148100381874,0.010458127151462994,0.0,0.14,0.875,0.77,0.56,0.33
7,5.8005400516490315,0.010483339608433735,0.0,0.16,0.905,0.78,0.555,0.345
8,5.789038367607918,0.010720336703958692,0.0,0.15,0.925,0.855,0.635,0.4
9,5.782049123268324,0.010629571858864028,0.0,0.145,0.895,0.755,0.57,0.365
10,5.7741022947117715,0.01100775871342513,0.0,0.165,0.91,0.805,0.64,0.36
11,5.767228719084275,0.010901866394148021,0.0,0.14,0.9,0.785,0.635,0.335
12,5.761872921055648,0.011009439543889846,0.0,0.145,0.915,0.75,0.585,0.34
13,5.754493291529854,0.011016162865748708,0.0,0.17,0.865,0.79,0.575,0.345
14,5.748374474438456,0.011374179754733219,0.0,0.12,0.86,0.785,0.59,0.33
15,5.744592454060014,0.01128509574010327,0.0,0.165,0.905,0.775,0.555,0.35
16,5.739639156656708,0.011308627366609295,0.0,0.145,0.9,0.77,0.57,0.35
17,5.733911743262548,0.011337201484509467,0.0,0.165,0.885,0.82,0.595,0.36
18,5.729658283588193,0.011414519685886403,0.0,0.14,0.905,0.775,0.63,0.335
19,5.720296721860587,0.01137754141566265,0.0,0.15,0.905,0.825,0.595,0.33
20,5.7209351173571585,0.011375860585197935,0.0,0.135,0.885,0.755,0.585,0.34
21,5.714435717735356,0.011728834982788296,0.0,0.13,0.905,0.74,0.545,0.335
22,5.71002284261733,0.01144981712564544,0.0,0.135,0.855,0.765,0.58,0.325
23,5.703964208776897,0.011370818093803787,0.0,0.12,0.925,0.73,0.53,0.305
24,5.701529002230672,0.011780940727194492,0.0,0.155,0.91,0.795,0.55,0.335
25,5.697438212146857,0.011664963425129089,0.0,0.145,0.915,0.76,0.58,0.32
26,5.69405102852905,0.011875067233218588,0.0,0.125,0.92,0.75,0.495,0.275
27,5.687901137412723,0.011925492147160068,0.0,0.14,0.89,0.755,0.525,0.31
28,5.683944954108863,0.011722111660929431,0.0,0.135,0.915,0.765,0.555,0.32
29,5.6819930938353025,0.01183640813253012,0.0,0.135,0.89,0.76,0.57,0.3
30,5.677496694246381,0.01201793782271945,0.0,0.105,0.88,0.76,0.535,0.33
31,5.674392170832203,0.012086851871772806,0.0,0.13,0.895,0.8,0.575,0.345
32,5.672019334750414,0.012249892426850258,0.0,0.125,0.895,0.695,0.545,0.31
33,5.669392941946007,0.012105341006884682,0.0,0.13,0.875,0.76,0.545,0.31
34,5.664497647966657,0.012159127581755594,0.0,0.13,0.89,0.775,0.52,0.34
35,5.6587177545806835,0.01226165824010327,0.0,0.135,0.915,0.775,0.595,0.33
36,5.658015350466546,0.012507059487951807,0.0,0.145,0.915,0.725,0.54,0.335
37,5.655647701322519,0.012416294642857142,0.0,0.14,0.915,0.74,0.545,0.295
38,5.650053281176726,0.0123591464070568,0.0,0.135,0.89,0.795,0.53,0.32
39,5.651150817509977,0.012266700731497418,0.0,0.13,0.915,0.725,0.56,0.325
40,5.648028490260217,0.012125510972461274,0.0,0.165,0.895,0.775,0.55,0.33
