epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,5.209541544856795,0.02413168298192771,0.0,0.065,0.795,0.65,0.41,0.225
2,5.184666675462575,0.02417034208261618,0.0,0.06,0.81,0.615,0.395,0.195
3,5.163620193730943,0.024351871772805508,0.0,0.055,0.8,0.635,0.455,0.225
4,5.150172177772719,0.024995629840791737,0.0,0.07,0.815,0.605,0.42,0.235
5,5.137514164443681,0.02490654582616179,0.0,0.06,0.81,0.625,0.41,0.215
6,5.127618531967399,0.025064543889845095,0.0,0.05,0.825,0.635,0.395,0.23
7,5.112853699419872,0.025419199117900172,0.0,0.04,0.805,0.59,0.375,0.225
8,5.103102053709572,0.025338519255593803,0.0,0.04,0.865,0.615,0.44,0.24
9,5.094181799437216,0.02581587510757315,0.0,0.045,0.78,0.65,0.395,0.2
10,5.083777946367116,0.02595034154475043,0.0,0.05,0.845,0.65,0.395,0.2
11,5.0732980989137735,0.02637895331325301,0.0,0.065,0.795,0.645,0.43,0.23
12,5.063736345189369,0.026158764522375214,0.0,0.05,0.875,0.595,0.425,0.21
13,5.056196691247149,0.02662771622203098,0.0,0.065,0.81,0.62,0.42,0.215
14,5.046214197260582,0.02672856604991394,0.0,0.06,0.785,0.62,0.36,0.195
15,5.040627962956125,0.02659073795180723,0.0,0.035,0.845,0.59,0.41,0.2
16,5.032188096268041,0.026997498924268504,0.0,0.04,0.79,0.635,0.41,0.21
17,5.0232903132545355,0.026799160929432013,0.0,0.04,0.81,0.625,0.365,0.2
18,5.015200103621885,0.02708322127796902,0.0,0.06,0.805,0.635,0.43,0.195
19,5.007980268711478,0.027698405228055077,0.0,0.045,0.765,0.635,0.395,0.205
20,5.001224463654878,0.02758074709552496,0.0,0.07,0.785,0.595,0.435,0.205
21,4.993138599724039,0.027595874569707402,0.0,0.05,0.79,0.595,0.395,0.2
22,4.9867025422967854,0.02786144578313253,0.0,0.05,0.82,0.6,0.395,0.21
23,4.979698092514799,0.028106847030981066,0.0,0.07,0.775,0.565,0.37,0.22
24,4.974104685955737,0.027913551527538726,0.0,0.055,0.745,0.635,0.385,0.195
25,4.965379234025072,0.028291738382099828,0.0,0.06,0.765,0.615,0.38,0.215
26,4.95818218388779,0.02836569492254733,0.0,0.04,0.785,0.65,0.38,0.2
27,4.953212967017431,0.028663201914802067,0.0,0.05,0.815,0.625,0.42,0.21
28,4.945449960416442,0.028713626828743545,0.0,0.04,0.83,0.625,0.415,0.195
29,4.942145217101053,0.02850184219018933,0.0,0.05,0.825,0.61,0.415,0.205
30,4.933775971555463,0.028431247310671256,0.0,0.05,0.78,0.635,0.4,0.2
31,4.927503658038614,0.029011133820998278,0.0,0.035,0.76,0.59,0.425,0.18
32,4.92269748254405,0.028844731604991396,0.0,0.04,0.795,0.575,0.38,0.175
33,4.915211822818356,0.02903634627796902,0.0,0.035,0.85,0.61,0.395,0.22
34,4.909208186111844,0.029150642749569706,0.0,0.045,0.805,0.59,0.38,0.195
35,4.902225617492466,0.0296330410929432,0.0,0.055,0.84,0.575,0.38,0.21
36,4.897069622440306,0.029695231820137693,0.0,0.055,0.79,0.635,0.405,0.205
37,4.891581308821188,0.029791039156626505,0.0,0.055,0.82,0.6,0.365,0.205
38,4.884360404515226,0.029681785176419964,0.0,0.035,0.81,0.545,0.385,0.2
39,4.8784834144447835,0.029698593481067126,0.0,0.045,0.835,0.605,0.39,0.195
40,4.8760387384542705,0.029960803033562824,0.0,0.045,0.8,0.61,0.4,0.195
