epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,6.406839651413095,0.003381830895008606,0.0,0.03,0.77,0.635,0.39,0.185
2,6.4030891695859715,0.0033851925559380378,0.0,0.015,0.78,0.545,0.41,0.17
3,6.399860322988382,0.003437298300344234,0.0,0.025,0.78,0.625,0.365,0.16
4,6.398631654795189,0.003353256777108434,0.0,0.02,0.78,0.63,0.41,0.155
5,6.3966219224125505,0.0033448526247848538,0.0,0.025,0.795,0.61,0.37,0.15
6,6.397326358624457,0.0033498951161790016,0.0,0.025,0.835,0.585,0.38,0.155
7,6.396063185805093,0.0033330868115318416,0.0,0.02,0.81,0.61,0.375,0.145
8,6.395530826253448,0.0033851925559380378,0.0,0.02,0.765,0.595,0.345,0.145
9,6.395060476871038,0.003418809165232358,0.0,0.025,0.765,0.565,0.385,0.135
10,6.393747548022902,0.00344738328313253,0.0,0.025,0.81,0.555,0.33,0.135
11,6.393350150622107,0.0033851925559380378,0.0,0.02,0.775,0.555,0.34,0.135
12,6.391675170235297,0.0033835117254733217,0.0,0.025,0.75,0.585,0.355,0.15
13,6.392906868519348,0.003381830895008606,0.0,0.02,0.8,0.59,0.375,0.135
14,6.391597345650914,0.003400320030120482,0.0,0.02,0.815,0.575,0.36,0.135
15,6.391281605587563,0.003420489995697074,0.0,0.02,0.79,0.565,0.375,0.14
16,6.391352986714926,0.0033314059810671255,0.0,0.02,0.79,0.565,0.335,0.135
17,6.391506758080908,0.003470914909638554,0.0,0.025,0.82,0.59,0.36,0.14
18,6.390846739127181,0.0034507449440619622,0.0,0.025,0.815,0.575,0.385,0.135
19,6.391497726900032,0.0033919158777969017,0.0,0.025,0.78,0.57,0.33,0.125
20,6.391295468335308,0.0034591490963855422,0.0,0.02,0.78,0.525,0.33,0.135
21,6.389933421977005,0.00338855421686747,0.0,0.02,0.745,0.545,0.325,0.145
22,6.390442359878357,0.00344738328313253,0.0,0.02,0.745,0.605,0.32,0.14
23,6.389268330986036,0.003454106604991394,0.0,0.025,0.785,0.565,0.315,0.145
24,6.38927137913269,0.00350621234939759,0.0,0.02,0.805,0.585,0.35,0.125
25,6.390202175114118,0.003474276570567986,0.0,0.02,0.775,0.62,0.37,0.13
26,6.388534156057387,0.003435617469879518,0.0,0.02,0.785,0.635,0.325,0.13
27,6.38733978484871,0.0034927657056798623,0.0,0.02,0.775,0.53,0.33,0.13
28,6.389192316084844,0.0035583180938037868,0.0,0.02,0.785,0.59,0.315,0.125
29,6.387540447116924,0.0034994890275387262,0.0,0.025,0.745,0.52,0.32,0.14
30,6.388426251337574,0.003428894148020654,0.0,0.015,0.755,0.57,0.35,0.13
31,6.388103463768754,0.003428894148020654,0.0,0.02,0.725,0.57,0.395,0.135
32,6.387503670743328,0.0034944465361445784,0.0,0.02,0.775,0.63,0.34,0.125
33,6.388361873396908,0.003425532487091222,0.0,0.015,0.775,0.585,0.37,0.125
34,6.38825852202056,0.00338855421686747,0.0,0.02,0.78,0.59,0.34,0.135
35,6.38725779347904,0.00344738328313253,0.0,0.02,0.83,0.55,0.31,0.13
36,6.386520693511438,0.0034524257745266783,0.0,0.015,0.745,0.605,0.33,0.13
37,6.386957586324564,0.00346419158777969,0.0,0.02,0.71,0.565,0.325,0.135
38,6.386653058089816,0.003386873386402754,0.0,0.02,0.79,0.57,0.37,0.14
39,6.386557522410985,0.0035045315189328745,0.0,0.015,0.795,0.56,0.355,0.13
40,6.386469195098352,0.0035196589931153184,0.0,0.015,0.75,0.555,0.36,0.13
