epoch,train_loss,train_accuracy,test_loss,test_accuracy,top5_acc
1,16.715905010700226,0.0005645751953125,8.505497670173645,0.005,0.04
2,15.716906026005745,0.0007781982421875,7.956954350471497,0.005,0.035
3,14.99419954419136,0.000701904296875,7.304251911640168,0.005,0.03
4,14.242171823978424,0.000640869140625,6.57965411901474,0.005,0.025
5,13.389470681548119,0.0007476806640625,5.965587439537049,0.005,0.025
6,12.670299336314201,0.0009002685546875,5.365002174377441,0.005,0.03
7,12.126786306500435,0.000732421875,4.771240434646606,0.005,0.03
8,11.662092357873917,0.000823974609375,4.224879231452942,0.005,0.035
9,11.257896289229393,0.0005950927734375,3.8450048100948333,0.005,0.04
10,10.890009045600891,0.00067138671875,3.5441411662101747,0.005,0.035
11,10.544730708003044,0.0005950927734375,3.2708092415332795,0.005,0.035
12,10.19923885166645,0.0009765625,3.0011729192733765,0.005,0.03
13,9.86416757106781,0.0006866455078125,2.557831361293793,0.005,0.035
14,9.488332092761993,0.0008392333984375,2.3847875118255617,0.015,0.025
15,9.098885893821716,0.0009765625,1.9060282963514328,0.005,0.025
16,8.721001714468002,0.0010223388671875,1.4645405960083009,0.005,0.025
17,8.37152498960495,0.000946044921875,1.1339912873506546,0.005,0.03
18,8.046652615070343,0.0009765625,0.8328128173947335,0.005,0.025
19,7.771146818995476,0.0010986328125,0.7333815428614616,0.005,0.03
20,7.5649216920137405,0.000946044921875,0.5035284143686295,0.01,0.05
21,7.405985347926617,0.0010833740234375,0.3782174389064312,0.01,0.035
22,7.283216319978237,0.0010528564453125,0.29674324214458464,0.005,0.04
23,7.188450507819653,0.0010986328125,0.22776415817439555,0.015,0.035
24,7.109754838049412,0.00115966796875,0.19626173853874207,0.01,0.055
25,7.047423876821995,0.0012359619140625,0.17052137039601803,0.005,0.035
26,7.000571735203266,0.0012969970703125,0.126254191249609,0.005,0.06
27,6.964585617184639,0.001251220703125,0.0977197378501296,0.005,0.03
28,6.946722202003002,0.001373291015625,0.08983734045177698,0.005,0.05
29,6.92331325262785,0.001373291015625,0.05530556855723262,0.005,0.035
30,6.899535521864891,0.0014801025390625,0.057184535395354036,0.02,0.105
31,6.885496824979782,0.0012969970703125,0.08308523699641228,0.01,0.075
32,6.879114732146263,0.001373291015625,0.05254858011379838,0.005,0.105
33,6.8669868260622025,0.00164794921875,0.04582573594525456,0.005,0.045
34,6.937317378818989,0.0013427734375,0.0659430063702166,0.015,0.025
35,6.891772963106632,0.0013580322265625,0.13082931600511075,0.005,0.04
36,6.8734051287174225,0.0018310546875,0.029812972228974104,0.01,0.055
37,6.850834600627422,0.0017547607421875,0.02613509519957006,0.01,0.055
38,6.837657384574413,0.0016632080078125,0.031767444545403124,0.005,0.075
39,6.833098739385605,0.0019378662109375,0.030129638519138097,0.015,0.08
40,6.825733780860901,0.0020751953125,0.02497903407551348,0.015,0.125
